d,count
2020.01.01,350
2020.01.02,750
2020.01.03,600
2020.01.04,250
2020.01.05,300
2020.01.06,650
2020.01.07,750
2020.01.08,850
2020.01.09,850
2020.01.10,508
2020.01.11,100
2020.01.12,250
2020.01.13,750
2020.01.14,700
2020.01.15,600
2020.01.16,700
2020.01.17,548
2020.01.18,150
2020.01.19,250
2020.01.20,750
2020.01.21,600
2020.01.22,700
2020.01.23,523
2020.01.24,150
2020.01.25,150
2020.01.26,100
2020.01.27,250
2020.01.28,650
2020.01.29,700
2020.01.30,850
2020.01.31,700
2020.02.01,150
2020.02.02,250
2020.02.03,800
2020.02.04,750
2020.02.05,750
2020.02.06,850
2020.02.07,650
2020.02.08,100
2020.02.09,300
2020.02.10,700
2020.02.11,850
2020.02.12,750
2020.02.13,850
2020.02.14,600
2020.02.15,200
2020.02.16,300
2020.02.17,750
2020.02.18,700
2020.02.19,800
2020.02.20,750
2020.02.21,650
2020.02.22,150
2020.02.23,300
2020.02.24,650
2020.02.25,700
2020.02.26,700
2020.02.27,700
2020.02.28,600
2020.02.29,200
2020.03.01,350
2020.03.02,800
2020.03.03,850
2020.03.04,750
2020.03.05,750
2020.03.06,515
2020.03.07,150
2020.03.08,250
2020.03.09,650
2020.03.10,650
2020.03.11,700
2020.03.12,600
2020.03.13,544
2020.03.14,100
2020.03.15,250
2020.03.16,850
2020.03.17,700
2020.03.18,750
2020.03.19,650
2020.03.20,1300
2020.03.21,150
2020.03.22,250
2020.03.23,700
2020.03.24,700
2020.03.25,750
2020.03.26,600
2020.03.27,700
2020.03.28,100
2020.03.29,250
2020.03.30,750
2020.03.31,750
2020.04.01,700
2020.04.02,700
2020.04.03,600
2020.04.04,150
2020.04.05,250
2020.04.06,750
2020.04.07,750
2020.04.08,750
2020.04.09,750
2020.04.10,700
2020.04.11,150
2020.04.12,250
2020.04.13,800
2020.04.14,700
2020.04.15,550
2020.04.16,750
2020.04.17,650
2020.04.18,100
2020.04.19,300
2020.04.20,800
2020.04.21,700
2020.04.22,750
2020.04.23,800
2020.04.24,600
2020.04.25,100
2020.04.26,250
2020.04.27,800
2020.04.28,750
2020.04.29,750
2020.04.30,250
2020.05.01,250
2020.05.02,100
2020.05.03,250
2020.05.04,700
2020.05.05,250
2020.05.06,800
2020.05.07,850
2020.05.08,700
2020.05.09,100
2020.05.10,300
2020.05.11,800
2020.05.12,750
2020.05.13,850
2020.05.14,850
2020.05.15,700
2020.05.16,150
2020.05.17,300
2020.05.18,850
2020.05.19,850
2020.05.20,800
2020.05.21,800
2020.05.22,600
2020.05.23,150
2020.05.24,250
2020.05.25,800
2020.05.26,850
2020.05.27,850
2020.05.28,800
2020.05.29,800
2020.05.30,150
2020.05.31,300
2020.06.01,1000
2020.06.02,800
2020.06.03,850
2020.06.04,800
2020.06.05,800
2020.06.06,150
2020.06.07,300
2020.06.08,850
2020.06.09,800
2020.06.10,900
2020.06.11,850
2020.06.12,650
2020.06.13,150
2020.06.14,300
2020.06.15,850
2020.06.16,850
2020.06.17,900
2020.06.18,950
2020.06.19,700
2020.06.20,150
2020.06.21,250
2020.06.22,850
2020.06.23,850
2020.06.24,900
2020.06.25,900
2020.06.26,850
2020.06.27,250
2020.06.28,400
2020.06.29,750
2020.06.30,850
2020.07.01,900
2020.07.02,850
2020.07.03,700
2020.07.04,150
2020.07.05,300
2020.07.06,900
2020.07.07,800
2020.07.08,900
2020.07.09,850
2020.07.10,750
2020.07.11,150
2020.07.12,300
2020.07.13,900
2020.07.14,850
2020.07.15,900
2020.07.16,900
2020.07.17,538
2020.07.18,150
2020.07.19,300
2020.07.20,800
2020.07.21,850
2020.07.22,900
2020.07.23,700
2020.07.24,533
2020.07.25,150
2020.07.26,300
2020.07.27,700
2020.07.28,650
2020.07.29,700
2020.07.30,700
2020.07.31,550
2020.08.01,150
2020.08.02,250
2020.08.03,750
2020.08.04,750
2020.08.05,750
2020.08.06,750
2020.08.07,650
2020.08.08,150
2020.08.09,300
2020.08.10,800
2020.08.11,800
2020.08.12,750
2020.08.13,750
2020.08.14,600
2020.08.15,150
2020.08.16,300
2020.08.17,450
2020.08.18,700
2020.08.19,700
2020.08.20,700
2020.08.21,540
2020.08.22,200
2020.08.23,300
2020.08.24,650
2020.08.25,700
2020.08.26,750
2020.08.27,700
2020.08.28,600
2020.08.29,200
2020.08.30,350
2020.08.31,750
2020.09.01,800
2020.09.02,850
2020.09.03,800
2020.09.04,650
2020.09.05,150
2020.09.06,300
2020.09.07,900
2020.09.08,750
2020.09.09,800
2020.09.10,750
2020.09.11,600
2020.09.12,150
2020.09.13,300
2020.09.14,800
2020.09.15,750
2020.09.16,750
2020.09.17,750
2020.09.18,550
2020.09.19,150
2020.09.20,300
2020.09.21,800
2020.09.22,800
2020.09.23,850
2020.09.24,750
2020.09.25,534
2020.09.26,150
2020.09.27,300
2020.09.28,800
2020.09.29,550
2020.09.30,150
2020.10.01,150
2020.10.02,150
2020.10.03,150
2020.10.04,300
2020.10.05,700
2020.10.06,750
2020.10.07,750
2020.10.08,600
2020.10.09,250
2020.10.10,150
2020.10.11,350
2020.10.12,800
2020.10.13,700
2020.10.14,700
2020.10.15,700
2020.10.16,526
2020.10.17,150
2020.10.18,250
2020.10.19,800
2020.10.20,700
2020.10.21,700
2020.10.22,750
2020.10.23,527
2020.10.24,200
2020.10.25,400
2020.10.26,900
2020.10.27,700
2020.10.28,800
2020.10.29,750
2020.10.30,532
2020.10.31,150
2020.11.01,300
2020.11.02,800
2020.11.03,700
2020.11.04,850
2020.11.05,800
2020.11.06,700
2020.11.07,200
2020.11.08,350
2020.11.09,750
2020.11.10,750
2020.11.11,800
2020.11.12,750
2020.11.13,600
2020.11.14,150
2020.11.15,300
2020.11.16,750
2020.11.17,750
2020.11.18,700
2020.11.19,750
2020.11.20,650
2020.11.21,150
2020.11.22,300
2020.11.23,750
2020.11.24,750
2020.11.25,800
2020.11.26,750
2020.11.27,600
2020.11.28,150
2020.11.29,300
2020.11.30,750
2020.12.01,750
2020.12.02,750
2020.12.03,750
2020.12.04,650
2020.12.05,150
2020.12.06,300
2020.12.07,800
2020.12.08,700
2020.12.09,750
2020.12.10,700
2020.12.11,549
2020.12.12,150
2020.12.13,250
2020.12.14,750
2020.12.15,750
2020.12.16,850
2020.12.17,800
2020.12.18,600
2020.12.19,150
2020.12.20,250
2020.12.21,800
2020.12.22,750
2020.12.23,750
2020.12.24,650
2020.12.25,200
2020.12.26,150
2020.12.27,250
2020.12.28,750
2020.12.29,800
2020.12.30,750
2020.12.31,514
